Note: The 3rd column of each metric is the comparision with the manually evaluated abstract. 1 signifies true/correct judgement by GPT. It doesn't necessarily have to agree with the manual evaluation as there were a couple of papers where GPT correctly identified metrics that were missed in the manual evaluation. Highlighted cells indicate interesting findings (GPT was mistaken/Manual evaluation was incorrect/etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper,problem,problem_phrase,problem_phrase_comparision,objective,objective_phrase,objective_phrase_comparision,research_method,research_method_phrase,research_method_phrase_comparision,research_questions,research_questions_phrase,research_questions_phrase_comparision,pseudocode,pseudocode_phrase,pseudocode_phrase_comparision,dataset,dataset_phrase,dataset_phrase_comparision,hypothesis,hypothesis_phrase,hypothesis_phrase_comparision,prediction,prediction_phrase,prediction_phrase_comparision,code_avail,code_avail_phrase,code_avail_phrase_comparision,software_dependencies,software_dependencies_phrase,software_dependencies_phrase_comparision,experiment_setup,experiment_setup_phrase,experiment_setup_phrase_comparision,
2109.12784,1,Motivated by the problem of learning with small sample sizes,1,1,this paper shows how to incorporate into support-vector machines (SVMs) those properties that have made convolutional neural networks (CNNs) successful.,1,1,Kernels based on the \textit{maximum} similarity over a group of transformations are not generally positive definite. Perhaps it is for this reason that they have not been studied theoretically. We address this lacuna,0,0,,1,0,,1,1,We verify through experiments on widely available image sets,1,1,"We address this lacuna and show that positive definiteness indeed holds \textit{with high probability} for kernels based on the maximum similarity in the small training sample set regime of interest, and that they do yield the best results in that regime",0,1,We verify through experiments on widely available image sets that the resulting SVMs do provide superior accuracy in comparison to well-established deep neural network benchmarks for small sample sizes,0,0,,1,0,,1,1,"We address this lacuna and show that positive definiteness indeed holds \textit{with high probability} for kernels based on the maximum similarity in the small training sample set regime of interest, and that they do yield the best results in that regime. We also show how additional properties such as their ability to incorporate local features at multiple spatial scales, e.g., as done in CNNs through max pooling, and to provide the benefits of composition through the architecture of multiple layers, can also be embedded into SVMs.",1,
2110.02343,1,"There are two persistent challenges in classical machine learning: the lack of labeled data, and the limit of computational power.",1,1,We propose a novel framework that resolves both issues: quantum semi-supervised learning.,1,1,"Moreover, we provide a protocol in systematically designing quantum machine learning algorithms with quantum supremacy, which can be extended beyond quantum semi-supervised learning",1,0,None,1,0,None,1,0,None,1,0,None,1,1,"""We conclude that they indeed possess quantum supremacy",1,0,None,1,0,None,1,1,"By doing time complexity analysis, we conclude that they indeed possess quantum supremacy",0,
2110.02474,1,I model the belief formation and decision making processes of economic agents during a monetary policy regime change (an acceleration in the money supply)...',1,1,"'I show that when the money supply accelerates, the learning agents only adjust their actions, which include consumption and demand for real balance, after gathering learning experience for many periods.",1,1,...with a deep reinforcement learning algorithm in the AI literature.,0,1,"'I also show that, 1. the AI agents who explore their environment more adapt to the policy regime change quicker, which leads to welfare improvements and less inflation volatility, and 2. the AI agents who have experienced a structural change adjust their beliefs and behaviours quicker than an inexperienced learning agent.",1,0,,1,0,,1,1,"I show that when the money supply accelerates, the learning agents only adjust their actions, which include consumption and demand for real balance, after gathering learning experience for many periods. This delayed adjustments leads to low returns during transition periods. Once they start adjusting to the new environment, their welfare improves.",1,1,Their changes in beliefs and actions lead to temporary inflation volatility.,0,0,,1,0,,1,0.5,I model the belief formation and decision making processes of economic agents during a monetary policy regime change (an acceleration in the money supply) with a deep reinforcement learning algorithm in the AI literature.,0,
2110.03135,1,label noise exists in adversarial training,1,1,we proposed a method to automatically calibrate the label to address the label noise and robust overfitting,1,1,"Guided by our analyses, we proposed a method",1,0,,1,0,,1,0.5,across various models and datasets,0,1,Such label noise is due to the mismatch between the true label distribution of adversarial examples and the label inherited from clean examples,0,0,,1,0,,1,0,,1,0,,1,
2110.05169,1,"Deep Reinforcement Learning (RL) is mainly studied in a setting where the training and the testing environments are similar. But in many practical applications, these environments may differ",1,1,There is a need to develop RL methods that generalize well to variations of the training conditions.,0,1,"To do so, we propose an approach where we learn a subspace of policies within the parameter space.",0,0,None,1,0,None,1,0,None,1,0,None,1,0.8,"Our experiments carried out over a large variety of benchmarks compare our approach with baselines, including diversity-based methods.",0,0,None,1,0,None,1,0.8,"In comparison, our approach is simple to tune, does not need any extra component (e.g., discriminator) and learns policies able to gather a high reward on unseen environments.",0,
2110.08255,0.9,Time series data is ubiquitous in research as well as in a wide variety of industrial applications. Effectively analyzing the available historical data and providing insights into the far future allows us to make effective decisions.,0,0.7,"Recent research has witnessed the superior performance of transformer-based architectures, especially in the regime of far horizon time series forecasting.",0,1,"We propose the Yformer model, based on a novel Y-shaped encoder-decoder architecture...",1,0,,1,0,,1,1,Extensive experiments have been conducted with relevant baselines on four benchmark datasets,0,0,,1,0,,1,0,,1,0,,1,0.9,"Extensive experiments have been conducted with relevant baselines on four benchmark datasets, demonstrating an average improvement of 19.82, 18.41 percentage MSE and 13.62, 11.85 percentage MAE in comparison to the current state of the art for the univariate and the multivariate settings respectively.",1,
2110.08432,1,"a critical challenge in MAML is to calculate the gradient w.r.t. the initialization of a long training trajectory for the sampled tasks, because the computation graph can rapidly explode and the computational cost is very expensive.",1,1,"To address this problem, we propose Adjoint MAML (A-MAML).",1,1,"To efficiently compute the gradient of the validation loss w.r.t. the initialization, we use the adjoint method to construct a companion, backward ODE",1,0,Not directly mentioned in the abstract,1,0,Not directly mentioned in the abstract,1,0,Not directly mentioned in the abstract,1,0,Not directly mentioned in the abstract,1,1,"Our approach is cheap, accurate, and adaptable to different trajectory lengths.",0,0,Not directly mentioned in the abstract,1,0,Not directly mentioned in the abstract,1,1,We demonstrate the advantage of our approach in both synthetic and real-world meta-learning tasks.,0,
2110.09902,1,We make an attempt to understanding convolutional neural network by exploring the relationship between (deep) convolutional neural networks and Volterra convolutions,1,1,We propose a novel approach to explain and study the overall characteristics of neural networks without being disturbed by the horribly complex architectures.,1,1,"Specifically, we attempt to convert the basic structures of a convolutional neural network (CNN) and their combinations to the form of Volterra convolutions.",1,0,None provided,1,0,None provided,1,0,None provided,11,0,None provided,1,1,"The results show that most of convolutional neural networks can be approximated in the form of Volterra convolution, where the approximated proxy kernels preserve the characteristics of the original network.",0,0,None provided,1,0,None provided,1,0.8,"Base on this setup, we presented methods to approximating the order-zero and order-one proxy kernels, and verified the correctness and effectiveness of our results.",0,
2110.11688,1,Machine learning models can leak information about the data used to train them.,1,1,"In this paper, we propose Differentially Private proximal Coordinate Descent (DP-CD), a new method to solve composite DP-ERM problems.",1,1,We derive utility guarantees through a novel theoretical analysis of inexact coordinate descent.,1,0,No specific research question is identified,1,0,No pseudocode is provided,1,0.5,'Experiments on real and synthetic data support our results',0,0.5,"Our results show that, thanks to larger step sizes, DP-CD can exploit imbalance in gradient coordinates to outperform DP-SGD.",0,0.5,"We also prove new lower bounds for composite DP-ERM under coordinate-wise regularity assumptions, that are nearly matched by DP-CD.",0,0,No mention of source code being shared,1,0,There is no mention of specific software or package dependency,1,1,"For practical implementations, we propose to clip gradients using coordinate-wise thresholds that emerge from our theory, avoiding costly hyperparameter tuning.",0,
2110.14241,1,"Previous work using a single set of agents has shown great progress in generalizing to known partners, however it struggles when coordinating with unfamiliar agents.",1,1,"In this work, our goal is to train agents that can coordinate with seen, unseen as well as human partners in a multi-agent communication environment involving natural language.",1,0.7,We attribute this to the use of static populations and instead propose a dynamic population-based meta-learning approach that builds such a population in an iterative manner. We perform a holistic evaluation of our method on two different referential games,1,0,,1,0,,1,0,,1,0,,1,0.8,"We show that our agents outperform all prior work when communicating with seen partners and humans. Furthermore, we analyze the natural language generation skills of our agents, where we find that our agents also outperform strong baselines.",1,0,,1,0,,1,0.5,"Finally, we test the robustness of our agents when communicating with out-of-population agents and carefully test the importance of each component of our method through ablation studies.",0,
2111.02997,1,"In this paper, we establish the global optimality and convergence rate of an off-policy actor critic algorithm in the tabular setting without using density ratio to correct the discrepancy between the state distribution of the behavior policy and that of the target policy.",1,1,"In this paper, we establish the global optimality and convergence rate of an off-policy actor critic algorithm in the tabular setting without using density ratio to correct the discrepancy between the state distribution of the behavior policy and that of the target policy.",1,0.9,"Our work goes beyond existing works on the optimality of policy gradient methods...' and 'Central to our work is the finite sample analysis of a generic stochastic approximation algorithm with time-inhomogeneous update operators on time-inhomogeneous Markov chains, based on its uniform contraction properties.",0,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0.6,"Our update step is not a gradient update because we do not use a density ratio to correct the state distribution, which aligns well with what practitioners do. Our update is approximate because we use a learned critic instead of the true value function. Our update is stochastic because at each step the update is done for only the current state action pair.",0,
2111.03664,1,"Knowledge distillation (KD), best known as an effective method for model compression, aims at transferring the knowledge of a bigger network (teacher) to a much smaller network (student).",0,0.9,"Extending this supervised scheme further, we introduce a new type of teacher model for connectionist temporal classification (CTC)-based sequence models, namely Oracle Teacher, that leverages both the source inputs and the output labels as the teacher model's input.",1,1,"Extending this supervised scheme further, we introduce a new type of teacher model for connectionist temporal classification (CTC)-based sequence models, namely Oracle Teacher, that leverages both the source inputs and the output labels as the teacher model's input... Based on a many-to-one mapping property of the CTC algorithm, we present a training strategy that can effectively prevent the trivial solution and thus enables utilizing both source and target inputs for model training.",0,0,,1,0,,1,0.6,Extensive experiments are conducted on two sequence learning tasks: speech recognition and scene text recognition,0,0,,1,0.7,"From the experimental results, we empirically show that the proposed model improves the students across these tasks while achieving a considerable speed-up in the teacher model's training time.",0,0,,1,0,,1,0.7,"Based on a many-to-one mapping property of the CTC algorithm, we present a training strategy that can effectively prevent the trivial solution and thus enables utilizing both source and target inputs for model training.",0,
2111.08356,0.8,"In Federated Learning (FL), multiple clients collaborate to learn a shared model through a central server while keeping data decentralized. Personalized Federated Learning (PFL) further extends FL by learning a personalized model per client.",0,0.9,"we introduce a new learning setup, On-Demand Unlabeled PFL (OD-PFL), where a system trained on a set of clients, needs to be later applied to novel unlabeled clients at inference time.",1,1,we train an encoder network that learns a representation for a client given its unlabeled data. That client representation is fed to a hypernetwork that generates a personalized model for that client.,1,0,None found,1,0,None found,1,0.8,"Evaluated on five benchmark datasets, we find that ODPFL-HN generalizes better than the current FL and PFL methods, especially when the novel client has a large shift from training clients.",0,0,None found,1,0.6,we find that ODPFL-HN generalizes better than the current FL and PFL methods,0,0,None found,1,0,None found,1,0.6,"we find that ODPFL-HN generalizes better than the current FL and PFL methods, especially when the novel client has a large shift from training clients.",1,
2111.12673,1,Algorithms based on temporal difference learning typically are prone to an over- or underestimation bias building up over time.,1,1,"In this paper, we propose a general method called Adaptively Calibrated Critics (ACC).",1,1,Adaptively Calibrated Critics (ACC) that uses the most recent high variance but unbiased on-policy rollouts to alleviate the bias of the low variance temporal difference targets.,0,0,,1,0,,1,0.7,"sets a new state of the art on the OpenAI gym continuous control benchmark' and 'We apply ACC to Truncated Quantile Critics, which is an algorithm for continuous control that allows regulation of the bias with a hyperparameter tuned per environment.",0,0,,1,0.9,The resulting algorithm adaptively adjusts the parameter during training rendering hyperparameter search unnecessary and sets a new state of the art on the OpenAI gym continuous control benchmark among all algorithms that do not tune hyperparameters for each environment. ACC further achieves improved results on different tasks from the Meta-World robot benchmark,0,0,,1,0,,1,0.8,"We apply ACC to Truncated Quantile Critics, which is an algorithm for continuous control that allows regulation of the bias with a hyperparameter tuned per environment. The resulting algorithm adaptively adjusts the parameter during training rendering hyperparameter search unnecessary and sets a new state of the art on the OpenAI gym continuous control benchmark among all algorithms that do not tune hyperparameters for each environment.",0,
2111.15449,0.75,"In the field of pattern classification, the training of deep learning classifiers is mostly end-to-end learning, ... so there is still room for improvement in classification accuracy.",1,0.8,"Based on the concept of Predefined Evenly-Distributed Class Centroids (PEDCC), this article proposes a Softmax-free loss function based on predefined optimal-distribution of latent features-POD Loss.",1,0.8,"The loss function only restricts the latent features of the samples, including the norm-adaptive Cosine distance between the latent feature vector of the sample and the center of the predefined evenly-distributed class, and the correlation between the latent features of the samples.",0,0,,1,0,,1,0.5,experiments on several commonly used datasets on several typical deep learning classification networks,0,0,,1,0.5,the classification performance of POD Loss is always significant better and easier to converge.,0,1,Code is available in https://github.com/TianYuZu/POD-Loss.,1,0,,1,0.6,"Compared with the commonly used Softmax Loss, some typical Softmax related loss functions and PEDCC-Loss, experiments on several commonly used datasets on several typical deep learning classification networks",1,
2112.00016,1,We use deep neural networks to machine learn correlations between knot invariants in various dimensions.,0,1,"We find that a two-layer feed-forward neural network can predict $s$ from $\text{Kh}(q,-q^{-4})$ with greater than $99\%$ accuracy.",0,1,We use deep neural networks,0,1,"we discuss the extent to which the machine is learning $s$ as opposed to $g$, since there is a general inequality $|s| \leq 2g$.",1,0,,1,0,,1,0.5,"This suggests a relationship with $SU(2)$ Chern--Simons theory, and we review the gauge theory construction of Khovanov homology which may be relevant for explaining the network's performance.",1,1,"we find similar performance for the prediction of $s$ from $\text{Kh}(q,-q^{-2})$, which suggests a novel relationship between the Khovanov and Lee homology theories of a knot.",1,0,,1,0,,1,0.5,"We find that a two-layer feed-forward neural network can predict $s$ from $\text{Kh}(q,-q^{-4})$",0,
2112.03432,1,Obtaining first-order regret bounds -- regret bounds scaling not as the worst-case but with some measure of the performance of the optimal policy on a given instance -- is a core question in sequential decision-making.,1,0.7,In this work we address this gap,1,1,we... develop a novel robust self-normalized concentration bound based on the robust Catoni mean estimator,1,0,Not explicitly mentioned,1,0,Not mentioned ,1,0,Not mentioned ,1,0,Not mentioned ,1,0,Not mentioned ,1,0,Not mentioned ,1,0,Not mentioned ,1,0.8,"...show that it is possible to obtain regret scaling as $\widetilde{\mathcal{O}}(\sqrt{d^3 H^3 \cdot V_1^\star \cdot K} + d^{3.5}H^3\log K )$ in reinforcement learning with large state spaces, namely the linear MDP setting.",0,
2112.04871,1,"However, most previous KGE methods ignore the semantic similarity between the related entities and entity-relation couples in different triples since they separately optimize each triple with the scoring function.",1,1,"To address this problem, we propose a simple yet efficient contrastive learning framework for tensor decomposition based (TDB) KGE",1,0.5,"We evaluate our proposed method on three standard KGE datasets: WN18RR, FB15k-237 and YAGO3-10.",0,0,,1,0,,1,1,"We evaluate our proposed method on three standard KGE datasets: WN18RR, FB15k-237 and YAGO3-10.",0,0,,1,1,"Our method can yield some new state-of-the-art results, achieving 51.2% MRR, 46.8% Hits@1 on the WN18RR dataset, 37.8% MRR, 28.6% Hits@1 on FB15k-237 dataset, and 59.1% MRR, 51.8% Hits@1 on the YAGO3-10 dataset.",0,0,,1,0,,1,0.5,"Our method can yield some new state-of-the-art results, achieving 51.2% MRR, 46.8% Hits@1 on the WN18RR dataset, 37.8% MRR, 28.6% Hits@1 on FB15k-237 dataset, and 59.1% MRR, 51.8% Hits@1 on the YAGO3-10 dataset.",0,
,46.7,,40,46.3,,43,45.6,,23,3.7,,48,0,,50,16.35,,44,8.1,,44,25.9,,26,4,,50,1,,50,28.1,,23,
